department,salary,age,is_active,Name,emp id,employee_id,name,email
IT,9648642,33,True,David Gross,arnoldkenneth@example.net,547097,Martin Martin,michellecruz@example.org
Finance,11454948,31,True,James Perez,reyesrachel@example.org,576528,Nicole Morales,usmith@example.net
HR,10707080,35,True,Nicole Drake,ishelton@example.com,900994,Sierra Roberts,alexaharris@example.com
IT,10083088,36,True,Antonio Cruz,grogers@example.org,647725,Jonathon Mays,rodney29@example.com
Marketing,1651425,25,True,Nathaniel Morris,laura33@example.net,449219,Amy Santos,jimenezmichelle@example.org
HR,2380836,36,True,Steven Smith,millssherry@example.org,703364,Dillon Lee,christopher56@example.net
IT,16476286,30,True,Anthony Villegas,rodriguezangie@example.net,832914,Crystal Shepard,angela49@example.com
Finance,13610727,36,False,Andrea Wilkins,owensmary@example.net,141591,Michael Cox,jennifer00@example.net
Finance,15671566,32,False,Kyle Meyer,ndavis@example.net,672121,Joe Harris Jr.,sawyerpatricia@example.com
HR,8120291,36,True,Lisa Romero,farrellsamantha@example.com,691803,Jamie Norton,jonesmeghan@example.net
IT,4308569,25,True,Alexis Kelley,abrown@example.org,214751,Krista Mckay,julie62@example.net
Marketing,9356550,35,False,Joseph Pratt,kimbethany@example.org,585559,Matthew Donaldson,shawn68@example.com
IT,5523882,36,True,Lisa Hughes,ddaniels@example.com,130649,Gary Pratt,bgonzalez@example.net
HR,14399585,32,True,Robert Williams,xbell@example.com,381737,Ryan Horton,youngjennifer@example.net
Marketing,7975455,36,True,Lauren Gilmore,xmason@example.org,878049,James Zavala,edwardsvalerie@example.org
Operations,10644733,33,True,Michelle Walls,utaylor@example.org,955722,Samuel Foster,iblackburn@example.net
Marketing,3504876,36,True,Katie Mcmillan,singletonclaudia@example.org,756682,Sara Armstrong,bowens@example.net
IT,9036222,25,False,Ricky Gray,charles46@example.org,463595,Joseph Powell,jeremystephens@example.org
Operations,3799726,33,True,Anna Ruiz,pattersonsarah@example.net,100878,Krista Olson,qphillips@example.com
Finance,5203822,36,False,Stephanie Lynch,jessicareyes@example.com,347287,Joseph Bruce,tammynelson@example.net
HR,14454388,35,True,Kyle Brown,xhoffman@example.org,451808,Derek Wheeler,carolynbrooks@example.com
HR,15923526,25,True,Nicole Calderon,benjaminscott@example.net,148707,Joseph Turner,agonzales@example.com
IT,6880221,36,False,Anthony Murphy,brooke73@example.net,103913,Jennifer Vaughn,paul08@example.net
Finance,14766191,36,True,William Wilson,richard88@example.org,963134,Chad Flores,prodriguez@example.net
Finance,1727683,35,True,Carolyn Short,omarwiley@example.com,380591,Heidi Ray,ramseydeanna@example.org
IT,9823693,36,False,Kristen Rivas,chad59@example.com,576464,Anthony Cook,ferrelltimothy@example.net
