employee_id,name,email,department,salary,age,is_active
571132,Kristin Castillo,gordonnoah@example.net,Marketing,85985,30,True
518099,Kayla Mccoy,annaturner@example.org,Finance,52365,40,True
949666,Vincent Miller,danielsnicholas@example.com,Operations,76602,36,True
168366,Eric Moon,melinda34@example.com,IT,48000,41,True
206980,Stephen Mcintosh,tabithanewton@example.com,Finance,54701,44,True
186432,Michele Rivera,davischarles@example.net,Finance,71942,38,True
238369,Beverly Oliver,margaret45@example.com,IT,66635,37,False
563238,Joseph Garner,amanda95@example.org,Operations,73580,25,False
372590,Jill Rivera,janetking@example.net,IT,69176,34,False
340211,Katherine Thomas,savannah91@example.com,Finance,48078,39,True
630025,Mark Sandoval,keithbarajas@example.net,Marketing,73561,39,True
746881,Andrea Moses,goodmancarrie@example.net,Marketing,48406,27,False
971521,Brittany Johnson,michelleterrell@example.org,IT,48072,25,True
573810,Justin Hayes,brianhicks@example.org,IT,58622,35,True
265561,Kenneth Delgado,vmurillo@example.com,IT,53041,38,True
674908,Marc Flores,wrightjames@example.net,Operations,59459,25,True
290374,Bryce Black,samanthawright@example.org,Marketing,58859,40,True
845906,Carolyn Ware,hollyhanson@example.com,IT,48000,34,False
833035,Heather Wolf,xwright@example.net,Marketing,48000,39,True
686604,Christopher York,shafferrachel@example.org,Marketing,58259,29,False
656888,Samantha Christensen,griffithjeremiah@example.net,Finance,48000,42,True
526536,William Mueller,katherine35@example.org,HR,48000,43,False
681393,Thomas Dodson,darlenehogan@example.net,HR,73504,46,True
801475,Ashley Chang,gtaylor@example.net,Finance,57862,25,True
909165,Suzanne Lee,cadams@example.net,Marketing,58578,26,True
755827,Tammy Callahan,websterkyle@example.com,HR,51158,43,False
251786,Kathleen Smith,sandra31@example.org,Operations,65710,39,True
440440,David Allen,ricekristin@example.net,Operations,51499,43,True
954825,Lisa Shannon,garciaduane@example.net,Marketing,48000,27,True
850739,Joseph Wright,monique32@example.net,Marketing,48000,39,True
199050,Carolyn Robbins,perezlindsey@example.com,Operations,55278,39,True
385792,Michael Fletcher,david17@example.org,HR,59108,38,True
900876,Donald Nguyen,jjones@example.net,HR,76801,46,True
290543,Dean Ferguson,sanchezlisa@example.org,Operations,74771,34,True
122944,Bruce Mccarty,donna86@example.com,Marketing,48000,33,True
783169,Tracy Mccullough,jacob06@example.org,HR,49691,25,False
394550,Justin King,lking@example.net,HR,51556,46,True
695476,Bridget Estrada,jamesangela@example.com,Finance,57595,41,True
840485,Joseph Wright,michele37@example.net,HR,67058,31,True
749394,Lori Mendoza,xphillips@example.net,IT,48000,41,True
247405,Kevin Hawkins,richardsjustin@example.com,Marketing,70729,46,True
248093,Breanna King,cgray@example.net,Marketing,57990,38,False
915782,Kelly Morris,dcox@example.org,Finance,57029,39,True
627218,Daniel Webb,yhicks@example.org,Operations,65593,42,True
943352,Shannon Williams,wallacejoseph@example.org,Marketing,48000,46,True
366788,Jonathan Bailey,fwilliams@example.net,HR,62918,34,True
113348,Laura Nguyen,jcochran@example.net,Finance,77391,42,False
495182,Donald Woods,lovekaren@example.net,Operations,48000,29,True
163818,Tracey Mora,staceyjordan@example.com,Marketing,48000,34,True
107099,Rebecca Hester,edward87@example.com,HR,65616,28,True
356034,Tiffany Sanchez,james77@example.org,Finance,51264,32,False
777000,Christopher Richardson,elizabethfitzgerald@example.org,IT,54808,25,False
600301,Elaine Novak,michaelrivera@example.net,Operations,51156,28,False
933167,David Matthews,sandra35@example.com,Finance,59327,27,False
143676,Stephanie Serrano,debra39@example.net,Operations,57654,31,True
260332,Gary Johnson,kimberlyanderson@example.org,Operations,53993,30,False
216462,Randy Castaneda,pattersonjamie@example.net,HR,48000,28,False
955403,Mr. Kevin Gilbert,valerieknox@example.net,IT,68240,44,True
125105,Tara Ross,qdonaldson@example.org,Finance,48000,36,True
745572,Nathaniel Luna,stacy92@example.net,Marketing,75611,29,False
416570,Matthew Carroll,adriana79@example.net,Marketing,48000,27,True
167514,Andrew Hughes,myerslauren@example.net,Finance,48000,39,False
437162,Darlene Jackson,castrojason@example.net,Finance,51343,44,False
322984,Rachel Long,victoriaroberts@example.net,Operations,75533,29,True
518358,Dr. Brian Lowery,cnelson@example.net,HR,61345,25,True
897510,Tracy Kramer,bethbennett@example.net,HR,71645,36,True
